地点名,公園名,評価,口コミ数,緯度,経度
梅田,大淀北公園,3.5,46,34.7079635,135.4866867
梅田,大淀中公園,3.5,63,34.7050219,135.4887238
梅田,大淀南公園,3.2,72,34.7034928,135.4879326
梅田,上福島公園,3.7,64,34.698336,135.4848467
梅田,中津南公園,3.5,68,34.70612759999999,135.4914038
梅田,上福島東公園,3.5,29,34.6993837,135.4888127
梅田,西天満若松浜公園,4.0,32,34.6948119,135.5043022
梅田,野崎公園,3.4,196,34.7012996,135.5069834
梅田,済美公園,3.7,64,34.7079798,135.5047113
梅田,堂島公園,3.5,37,34.6951877,135.4996878
梅田,西梅田公園,3.3,362,34.6974486,135.4909727
梅田,中之島公園,4.1,5231,34.6924709,135.507323
梅田,福島公園,3.6,106,34.6958856,135.4852683
梅田,上福島北公園,3.5,110,34.7008105,135.4860431
梅田,上福島北公園（北区）,3.5,2,34.7008882,135.4859016
梅田,中津中央公園,3.6,95,34.7102417,135.4932601
梅田,老松公園,2.5,2,34.6959349,135.5066036
梅田,豊崎南公園,3.1,42,34.7104562,135.4992992
梅田,扇町公園,3.9,3325,34.7040342,135.5090367
梅田,西天満公園,3.6,156,34.698553,135.5079031
西宮北口,高木公園,3.9,199,34.7510619,135.3617394
西宮北口,高木西公園,4.0,5,34.7503208,135.3590103
西宮北口,両度公園,3.7,36,34.7437416,135.3532578
西宮北口,丸橋東公園,3.5,17,34.7507252,135.3549739
西宮北口,北口町1号公園,4.1,24,34.751745,135.3575204
西宮北口,大森公園,3.4,17,34.7477511,135.3675503
西宮北口,能登公園,4.0,11,34.751543,135.3513024
西宮北口,津田公園,3.4,19,34.741183,135.3460603
西宮北口,高木東第１公園,3.3,6,34.7513659,135.3633066
西宮北口,丸橋西公園,3.3,6,34.7513604,135.352881
西宮北口,深津公園,3.4,11,34.7403201,135.3587371
西宮北口,大塚北公園,4.1,15,34.73882870000001,135.3522999
西宮北口,大塚公園,3.0,6,34.7384055,135.3540338
西宮北口,森下東公園,3.0,8,34.7438374,135.3508868
西宮北口,中殿北公園,3.9,7,34.7423567,135.3478418
西宮北口,高座第２公園,3.2,6,34.7542133,135.3466523
西宮北口,北口町2号公園,3.0,3,34.7521928,135.3575426
西宮北口,大屋西公園,3.5,15,34.7456516,135.3644347
西宮北口,高畑公園（北側）,3.5,4,34.740763,135.3619631
西宮北口,森下西公園,3.0,9,34.7437634,135.3499193
なんば,難波千日前公園,3.6,106,34.6639445,135.5047102
なんば,浪速公園,3.6,530,34.6624152,135.4935595
なんば,鴎町公園,3.8,90,34.65917580000001,135.4951668
なんば,阿弥陀池公園,3.8,102,34.6738111,135.489922
なんば,道仁公園,3.3,91,34.670522,135.5093667
なんば,堀江公園,3.8,587,34.6722632,135.4946807
なんば,黒門公園,3.7,69,34.6640774,135.5073701
なんば,塩草公園,3.5,29,34.6593592,135.4922446
なんば,難波中公園,3.4,76,34.6606834,135.4991614
なんば,日本橋公園,3.3,115,34.6618216,135.5075945
なんば,高台橋公園,3.7,115,34.6723504,135.4898206
なんば,南堀江公園,3.7,3,34.6705134,135.4910997
なんば,稲荷町公園,3.3,24,34.6672281,135.489645
なんば,難波塩草敷津公園,4.2,11,34.6592672,135.4931888
なんば,元町中公園,3.5,138,34.664872,135.4961694
なんば,新町南公園,3.7,71,34.6763761,135.4928324
なんば,西横堀公園,3.6,5,34.675551,135.4908147
なんば,三角公園（御津公園）,3.6,1057,34.6720688,135.4979236
なんば,難波塩草敷津公園,3.7,27,34.6618449,135.4940763
なんば,生玉公園,3.7,462,34.6643073,135.512579
天王寺,天王寺公園,4.1,7750,34.6507248,135.5104151
天王寺,大道南公園,3.8,80,34.6471761,135.5222482
天王寺,金塚ふれあい中央公園,3.9,45,34.6439936,135.5103075
天王寺,金塚ふれあい東公園,3.5,70,34.643192,135.510977
天王寺,三明町公園,3.3,20,34.6399272,135.5193964
天王寺,山王第２公園,3.6,9,34.6451128,135.5072901
天王寺,松崎公園,3.5,16,34.6415563,135.5137176
天王寺,広田・関谷公園,4.0,29,34.6562013,135.5029936
天王寺,三明町北公園,3.7,19,34.6422738,135.5214712
天王寺,寺田町公園,3.4,105,34.6524318,135.5203124
天王寺,大道北公園,3.5,62,34.6489389,135.521533
天王寺,高松公園,3.7,37,34.6439051,135.5246012
天王寺,山王みどり公園,4.0,18,34.6475294,135.5061553
天王寺,天下茶屋東公園,3.0,25,34.640109,135.5047854
天王寺,庚申堂公園,3.4,10,34.650557,135.5159898
天王寺,阿倍野旭公園,4.0,1,34.6450483,135.5084473
天王寺,逢坂公園,3.3,6,34.6541409,135.5116998
天王寺,稲生公園,3.8,52,34.650111,135.5192639
天王寺,金塚ふれあい西公園,3.4,52,34.64336240000001,135.5082756
天王寺,天下茶屋東1丁目児童公園,2.6,5,34.642117,135.504689
千里中央,樫ノ木公園,3.9,146,34.8163838,135.5009965
千里中央,千里東町公園,3.8,113,34.8103686,135.4986273
千里中央,千里西町公園,3.6,48,34.809508,135.4888489
千里中央,千里中央公園,3.9,845,34.8109359,135.5059153
千里中央,千里南町公園,3.5,41,34.8030279,135.4907804
千里中央,千里北町公園,3.7,64,34.8163615,135.4959731
千里中央,上新田1丁目公園,3.4,8,34.8026168,135.4946366
千里中央,新田南公園,3.2,6,34.8001078,135.5010745
千里中央,東豊中3丁目第3公園,3.3,4,34.8041868,135.4860144
千里中央,東豊中4丁目第3公園,2.8,6,34.7990206,135.4841869
千里中央,東豊中3丁目第2公園,3.4,8,34.8016388,135.4842817
千里中央,上新田1丁目第4公園,3.4,15,34.8046557,135.4972178
千里中央,千里南町公園,3.8,13,34.8018306,135.491032
千里中央,西町３丁目第１公園,3.0,3,34.8152729,135.4914437
千里中央,西町２丁目第１公園,4.0,1,34.8106245,135.4871317
千里中央,南町２丁目第２公園,2.0,2,34.7991466,135.4891102
千里中央,もくせい公園,3.9,12,34.8138128,135.5028532
千里中央,上新田2丁目第3公園,0.0,0,34.8058932,135.4977155
千里中央,西町３丁目第２公園,4.0,2,34.8129459,135.4891756
千里中央,上新田西公園,1.0,2,34.8004028,135.4963401
十三,十三公園,3.5,491,34.7173855,135.4780567
十三,木川公園,3.4,62,34.7269336,135.4892547
十三,十三東公園,3.6,79,34.720415,135.4843423
十三,新北野公園,3.6,109,34.7130118,135.4738814
十三,木川北公園,4.0,11,34.7283543,135.4906592
十三,野中北公園,3.1,23,34.7283947,135.4788221
十三,塚本南公園,3.4,13,34.7116756,135.4714368
十三,木川南公園,3.1,19,34.7236565,135.4931701
十三,淀川河川公園 西中島地区・十三野草地区),4.2,322,34.7137059,135.478349
十三,木川西公園,3.2,22,34.7245891,135.4887888
十三,田川北公園,3.3,15,34.7229512,135.4717096
十三,田川東公園,3.6,43,34.7231811,135.4755108
十三,田川中公園,3.5,23,34.7211924,135.4739471
十三,野中南公園（区民グラウンド）,3.8,58,34.7261279,135.4830886
十三,野中北１公園,3.2,31,34.7295035,135.4824354
十三,三津屋公園,3.9,41,34.7262707,135.470115
十三,淀川公園,5.0,1,34.7182658,135.4862349
十三,淀川河川公園 十三野草地区,4.1,15,34.7195584,135.4904978
十三,中津中央公園,3.6,95,34.7102417,135.4932601
十三,三津屋東公園,3.4,55,34.7300691,135.4739363
江坂,広芝公園,3.5,114,34.7571088,135.5028927
江坂,南吹田公園,3.6,176,34.7539619,135.5077459
江坂,金田公園,3.4,43,34.7589557,135.5071098
江坂,小曽根北公園,3.4,7,34.7642379,135.4876019
江坂,北条町４丁目公園,3.2,6,34.7653309,135.4877874
江坂,小曽根南公園,3.6,14,34.7547968,135.486239
江坂,豊津(とよつ)公園,3.5,167,34.7604966,135.4957302
江坂,五反島公園,3.4,48,34.7509463,135.499877
江坂,江の木公園,3.6,163,34.7568133,135.4945092
江坂,江坂公園,4.0,891,34.7590673,135.4997136
江坂,染の井公園,3.4,20,34.7638481,135.4888537
江坂,垂水上池公園,3.7,39,34.7668766,135.5078449
江坂,玉の井公園,3.5,23,34.7663114,135.5024268
江坂,榎阪大池公園,4.0,45,34.76641,135.4947637
江坂,小曽根５丁目第１公園,3.5,2,34.7571405,135.48706
江坂,下新田公園,0.0,0,34.7512601,135.5049396
江坂,ファミリーパーク芳野,0.0,0,34.7567303,135.4875609
江坂,豊南東公園,3.6,12,34.7507461,135.4857605
江坂,北条東公園,4.0,3,34.7667027,135.4874918
江坂,北条公園 (くじら公園),3.8,16,34.7657946,135.485791
心斎橋,久宝公園,3.3,155,34.6802035,135.5028217
心斎橋,立売堀公園,3.5,38,34.67803749999999,135.49048
心斎橋,新町南公園,3.7,71,34.6763761,135.4928324
心斎橋,阿弥陀池公園,3.8,102,34.6738111,135.489922
心斎橋,道仁公園,3.3,91,34.670522,135.5093667
心斎橋,新阿波座公園,3.3,104,34.6810469,135.4955402
心斎橋,堀江公園,3.8,587,34.6722632,135.4946807
心斎橋,新町北公園,3.6,135,34.6780717,135.4950503
心斎橋,東横堀公園,3.2,37,34.6827221,135.5103362
心斎橋,西横堀公園,2.2,5,34.6798127,135.4977149
心斎橋,高台橋公園,3.7,115,34.6723504,135.4898206
心斎橋,南堀江公園,3.7,3,34.6705134,135.4910997
心斎橋,稲荷町公園,3.3,24,34.6672281,135.489645
心斎橋,阿波座南公園,3.5,61,34.6797979,135.4916556
心斎橋,西横堀公園,3.6,5,34.675551,135.4908147
心斎橋,靱公園,4.1,3940,34.685196,135.4938226
心斎橋,三角公園（御津公園）,3.6,1057,34.6720688,135.4979236
心斎橋,靭公園 西園 遊戯広場,3.6,5,34.6836849,135.4896926
心斎橋,キャピトル新町南公園,0.0,0,34.6764851,135.4935872
心斎橋,南大江公園,3.7,225,34.678014,135.5133795
本町,靱公園,4.1,3940,34.685196,135.4938226
本町,西船場公園,3.7,81,34.6877831,135.4942723
本町,久宝公園,3.3,155,34.6802035,135.5028217
本町,立売堀公園,3.5,38,34.67803749999999,135.49048
本町,新町南公園,3.7,71,34.6763761,135.4928324
本町,阿弥陀池公園,3.8,102,34.6738111,135.489922
本町,新阿波座公園,3.3,104,34.6810469,135.4955402
本町,新町北公園,3.6,135,34.6780717,135.4950503
本町,花乃井公園,3.8,57,34.6857978,135.4898042
本町,京町堀公園,3.3,70,34.6874856,135.4977101
本町,西横堀公園,2.2,5,34.6798127,135.4977149
本町,阿波座南公園,3.5,61,34.6797979,135.4916556
本町,薩摩堀公園,3.3,40,34.680569,135.4882235
本町,西横堀公園,3.6,5,34.675551,135.4908147
本町,適塾史跡公園,3.8,4,34.6911868,135.5033716
本町,靱公園 東園,4.2,71,34.6852715,135.4946185
本町,靭公園 西園 遊戯広場,3.6,5,34.6836849,135.4896926
本町,靭公園 バラ園,4.2,1020,34.685779,135.4940901
本町,靭公園 東園 遊具コーナー,4.0,3,34.6849498,135.4945165
本町,キャピトル新町南公園,0.0,0,34.6764851,135.4935872
吹田,片山公園,3.9,237,34.7647677,135.5155957
吹田,大井池公園,3.8,27,34.76904800000001,135.5230604
吹田,原新池公園,3.6,38,34.77199340000001,135.5248205
吹田,片山北ふれあい公園,3.6,55,34.770025,135.516952
吹田,末広公園,3.6,21,34.7650052,135.5322629
吹田,いずみ公園,3.6,8,34.7618651,135.514803
吹田,いずみ南公園,3.8,16,34.7604893,135.5135396
吹田,新いずみ公園,3.1,14,34.7587868,135.5130826
吹田,吹一公園,3.4,46,34.7592965,135.5234087
吹田,安威川公園（足跡公園）,3.4,62,34.7601558,135.5313138
吹田,いずみの園公園,3.4,7,34.7603023,135.5157949
吹田,土の広場,3.8,63,34.7693252,135.5291945
吹田,健都レールサイド公園,4.2,264,34.7726182,135.532973
吹田,かすが遊園,3.3,4,34.7583556,135.5306399
吹田,南清和園第２遊園,3.7,7,34.7545876,135.5143746
吹田,吹東公園,2.4,9,34.765201,135.5359489
吹田,穂波公園,3.3,25,34.7564415,135.5116434
吹田,南清和園公園,3.7,20,34.7525338,135.5136281
吹田,幸町第3遊園,0.0,0,34.7668883,135.5343969
吹田,岸部中第２公園,3.8,17,34.7735908,135.5327173
